"","ic","ci"
"1",7.81348,87.3512263994621
"2",7.87748,87.3003941906352
"3",8.21348,87.2645856204145
"4",8.31528,87.2643744529701
"5",8.64328,87.1322340696537
"6",8.70728,87.1210558187078
"7",8.87928,86.7659060006212
"8",8.94328,86.7547277496753
"9",9.16928,86.0621237606541
"10",9.43928,85.6829045425407
"11",9.57128,85.210558418979
"12",9.79428,85.1479259997161
"13",9.97428,84.6247815694512
"14",10.20428,84.2218024233037
"15",10.38628,83.8900737986927
"16",10.55428,83.4327602090395
"17",10.65828,82.8853026538213
"18",10.93428,82.1451338130355
"19",10.96248,81.389515556475
"20",11.12428,81.1421912372695
"21",11.14728,80.7523177996249
"22",11.24528,80.0990150605379
"23",11.25128,79.3451513009919
"24",11.25128,79.3451513009919
"25",11.30728,78.5482877903772
"26",11.30728,78.5482877903772
"27",11.63928,78.1600594430407
"28",11.84128,77.9914521431705
"29",11.97928,77.5242362213927
"30",12.10128,77.3444035235579
"31",12.12228,76.8597453020443
"32",12.24128,76.7265873216728
"33",12.45428,76.4796282269083
"34",12.80428,75.764007476732
"35",12.94428,75.5637058920532
"36",12.97128,74.813726017016
"37",13.15828,74.7614127368968
"38",13.21428,74.4203164127128
"39",13.43428,74.0639559684472
"40",13.53628,73.8160737781657
"41",13.86228,73.7737796452049
"42",14.02628,73.7148367878943
"43",14.34028,73.5501489848548
"44",14.35768,73.3154539897819
"45",14.64228,72.8612648112767
"46",14.71028,72.5832451620918
"47",15.05328,72.0013415667197
"48",15.21128,71.6439251967097
"49",15.32928,71.1761020551243
"50",15.54528,71.044282718218
"51",15.69528,70.5439270680007
"52",15.69528,70.5439270680007
"53",15.84128,69.8916236372682
"54",16.15328,69.3423508994589
"55",16.15328,69.3423508994589
"56",16.19928,68.7166864835604
"57",16.32328,68.4924578385038
"58",16.46228,68.1797004563775
"59",16.84028,67.9822373174648
"60",17.10828,67.6087531122308
"61",17.15228,67.4618172576207
"62",17.47028,66.7771315683419
"63",17.56028,66.5354808736703
"64",17.80328,66.176753869693
"65",17.96728,65.9008038360485
"66",18.08728,65.6300251234287
"67",18.29528,65.131900518492
"68",18.43528,64.6590908557204
"69",18.52728,64.4159016218436
"70",18.64728,64.1541921115329
"71",18.80028,63.4701028152359
"72",18.80028,63.4701028152359
"73",18.89828,62.9391491385571
"74",19.08228,62.5133136734184
"75",19.28228,62.1430014807307
"76",19.28228,62.1430014807307
"77",19.33928,61.4941702939276
"78",19.46728,61.298887194954
"79",19.66228,61.0480951901778
"80",19.98328,60.6880107314627
"81",19.99328,60.5941860253237
"82",20.22028,60.2448619095563
"83",20.56528,59.6192553293853
"84",20.64628,59.1618143809003
"85",20.68828,59.1354519035998
"86",20.83628,58.4822540968597
"87",20.89328,57.8549239403978
"88",20.93528,57.8285614630972
"89",20.96628,56.8954175685977
"90",21.03028,56.8842393176518
"91",21.29328,56.6059977516932
"92",21.61128,55.6734688826117
"93",21.63228,54.9481094366651
"94",21.79628,54.7709778324693
"95",21.91828,54.4774921562028
"96",22.17628,54.2759500008166
"97",22.17628,54.2759500008166
"98",22.37628,53.7886072379536
"99",22.44628,52.94645282859
"100",22.50628,52.8188833810185
"101",22.50628,46.5906331420713
"102",22.49628,46.7253852421043
"103",22.44928,47.5037728136476
"104",22.27628,48.1120629460156
"105",22.10628,48.4616685284055
"106",21.85828,48.9102522911573
"107",21.63328,49.1951670786686
"108",21.59128,49.2426195378096
"109",21.39528,49.6406606225304
"110",21.39528,49.6406606225304
"111",21.01128,49.8906692811042
"112",20.86228,50.1946302803993
"113",20.84528,50.8445775201812
"114",20.68128,51.4430681889036
"115",20.62528,52.2955759042985
"116",20.62528,52.2955759042985
"117",20.30728,52.7755261791408
"118",20.30728,52.7755261791408
"119",20.08228,53.1457180383565
"120",20.08228,53.1457180383565
"121",19.88428,53.6142781584236
"122",19.73428,53.7590018812695
"123",19.67528,54.173434331374
"124",19.48328,54.6897364452815
"125",19.07528,55.113306678513
"126",19.07528,55.113306678513
"127",19.06328,56.1687654953896
"128",19.02128,56.2162179545306
"129",19.00628,57.1185017589979
"130",18.94328,57.7962166117523
"131",18.81628,58.3464332139454
"132",18.77428,58.3938856730864
"133",18.68528,59.1158920065663
"134",18.54128,59.7165848078469
"135",18.29528,59.7711235877499
"136",18.23528,60.4899943853925
"137",17.97528,61.0090946054476
"138",17.66328,61.4431987239706
"139",17.42828,61.8129976049004
"140",17.42828,61.8129976049004
"141",17.30028,62.4024460431903
"142",17.09828,62.5095196705327
"143",16.98228,63.0155879256768
"144",16.84828,63.0296747564721
"145",16.47328,63.9874669117188
"146",16.45328,64.7377640608528
"147",16.37628,65.3724413713703
"148",16.36728,66.3323690990767
"149",16.26328,67.1585785940711
"150",16.21628,67.4901000858332
"151",16.15328,68.4975017735306
"152",16.15328,68.4975017735306
"153",16.02328,69.0455898513987
"154",15.98328,69.232617863994
"155",15.74728,69.6260932401414
"156",15.55528,70.1992856089583
"157",15.33328,70.9560562546795
"158",15.08628,71.3978450638444
"159",14.87028,71.5214954342655
"160",14.70228,72.138816111122
"161",14.49228,72.4477209320773
"162",14.29228,73.0605735853214
"163",13.90428,73.2436747383953
"164",13.70228,73.3507483657377
"165",13.36328,73.4537398374932
"166",13.30328,73.678405909259
"167",12.67128,73.9491887172598
"168",12.39928,74.4162195427187
"169",12.17528,74.5418521513699
"170",11.72328,74.6535819737322
"171",11.52328,74.7468809539788
"172",11.32328,75.3084371174599
"173",11.31228,75.7938809457818
"174",11.27928,76.6943764011531
"175",11.27928,76.6943764011531
"176",11.25928,77.5524140086708
"177",11.25828,77.765838944055
"178",11.19528,79.0593486009506
"179",11.17228,79.7510320747187
"180",11.06228,80.3978817092663
"181",10.96228,81.4888392066023
"182",10.88228,81.5211663709204
"183",10.81228,82.3691059436009
"184",10.69228,82.7296379996172
"185",10.45628,83.0561605226454
"186",10.29228,83.1151033799559
"187",10.28628,83.9781714060289
"188",10.20428,84.1886443425775
"189",9.97928,84.6861783652534
"190",9.91528,84.6973566161993
"191",9.64128,84.8000762693616
"192",9.61728,85.0921009532632
"193",9.52928,85.6446457906847
"194",9.27128,86.1440051905153
"195",9.00728,86.6697564871595
"196",8.81928,86.9869759726025
"197",8.65528,87.045918829913
"198",8.27748,87.2164739400556
"199",8.07928,87.2920723747072
"200",7.81348,87.3512263994621
