"","ic","ci"
"1",10.27668,55.7060628467802
"2",10.27668,55.7060628467802
"3",10.51268,55.6295247956567
"4",10.71448,55.6247086875005
"5",11.02048,55.6015744812704
"6",11.16648,55.5612609911922
"7",11.33048,55.5023181338816
"8",11.69808,55.4973630374253
"9",12.03648,55.4526762370755
"10",12.38868,55.4242527519642
"11",12.59048,55.4194366438079
"12",12.72648,55.3475035333964
"13",13.02048,55.3430988039344
"14",13.02048,55.3430988039344
"15",13.32248,55.2798936942609
"16",13.57648,55.1806373468721
"17",13.74648,55.0679336953633
"18",13.78848,55.0222576054245
"19",14.26248,54.9596422947676
"20",14.50848,54.9181782001627
"21",14.73048,54.8642534055528
"22",15.15448,54.6523392440566
"23",15.19648,54.6066631541178
"24",15.34648,54.5405646855551
"25",15.48048,54.5006939933616
"26",15.54448,54.4498617845347
"27",15.68648,54.3960750461123
"28",15.99748,54.311649537692
"29",16.19148,54.2641721175861
"30",16.35548,54.2052292602756
"31",16.84548,54.0436137303087
"32",17.36348,53.7751486797892
"33",17.46948,53.6547033424698
"34",17.57948,53.363286730235
"35",17.57948,53.363286730235
"36",17.68148,53.1965411639361
"37",17.74548,52.9949355326037
"38",17.74548,52.9949355326037
"39",18.04548,52.7982020536427
"40",18.06548,52.7460587697514
"41",18.30548,52.6873128980349
"42",18.30548,52.6873128980349
"43",18.47148,52.4453720450394
"44",18.52348,52.2568067397724
"45",18.58148,52.1731905858237
"46",18.71748,51.9616908823618
"47",18.84548,51.8888814646733
"48",18.99548,51.752257882063
"49",19.17448,51.7072150908043
"50",19.62848,51.4870867966741
"51",19.62848,51.4870867966741
"52",19.82248,51.3853607356248
"53",19.95248,51.2668648850194
"54",20.10448,51.2003270679672
"55",20.27248,51.0392253024416
"56",20.58848,50.8893234160836
"57",20.59448,50.856798907182
"58",20.83248,50.7762897275353
"59",20.95448,50.6814953226406
"60",21.12448,50.3451968582202
"61",21.12448,50.3451968582202
"62",21.12748,50.0916283617375
"63",21.34448,49.8323681608564
"64",21.34448,49.8323681608564
"65",21.39048,49.6093841938462
"66",21.55848,49.534636458003
"67",21.66048,49.3868243503112
"68",21.84948,49.2058566174347
"69",21.95948,48.9716948116392
"70",22.05948,48.8420973172967
"71",22.06248,48.5885319283459
"72",22.18648,48.5073878456587
"73",22.22848,48.46171175572
"74",22.55248,48.4527840323063
"75",22.55248,48.4527840323063
"76",22.82648,48.3729794478823
