"binomial","area"
"Garra cambodgiensis",531417.100000001
"Garra cyrano",83009.5999999999
"Garra fasciacauda",227196.7
"Garra flavatra",48662.8
"Garra fuliginosa",10341.1
"Garra nasuta",662.3
"Garra theunensis",5001.7
"Gazza minuta",2680.8
"Genicanthus lamarck",925
"Glossogobius aureus",134919.1
"Glossogobius sparsipapillus",25307.5
"Glyptothorax buchanani",3901.3
"Glyptothorax callopterus",1292.7
"Glyptothorax coracinus",55.7
"Glyptothorax filicatus",9159.6
"Glyptothorax honghensis",2119.9
"Glyptothorax horai",85867.8
"Glyptothorax lampris",287802.2
"Glyptothorax laosensis",600175.100000001
"Glyptothorax macromaculatus",1163.9
"Glyptothorax major",662.3
"Glyptothorax strabonis",297.2
"Glyptothorax trilineatus",280601.3
"Glyptothorax zanaensis",1356.3
"Gobiopterus chuno",13467.2
"Goodea atripinnis",1872.9
"Goodea gracilis",1872.9
"Goodea luitpoldii",1872.9
"Gyrinocheilus aymonieri",89923.7999999999
"Gyrinocheilus pennocki",110260.5
"Hampala dispar",198778.5
"Hampala macrolepidota",386261.399999999
"Hampala salweenensis",5261.5
"Helicophagus leptorhynchus",152621.2
"Helicophagus waandersii",4107.8
"Hemibagrus filamentus",59293.9
"Hemibagrus hoevenii",7036.8
"Hemibagrus nemurus",18476.3
"Hemibagrus pluriradiatus",103713.7
"Hemibagrus spilopterus",24647.9
"Hemibagrus wyckii",436782
"Hemibagrus wyckioides",333883.7
"Hemiculterella macrolepis",51571.4
"Hemigobius hoevenii",3210.8
"Hemimyzon confluens",16666.5
"Hemimyzon ecdyonuroides",16874.9
"Hemimyzon khonensis",3996.9
"Hemimyzon papilio",178617.1
"Hemimyzon pengi",42981
"Hemisilurus mekongensis",142625.4
"Henicorhynchus lineatus",104831.8
"Henicorhynchus lobatus",165688.7
"Henicorhynchus ornatipinnis",352648.9
"Henicorhynchus siamensis",295011.4
"Heteropneustes fossilis",397347.3
"Hippichthys cyanospilos",41053.3
"Hippichthys heptagonus",96634.2999999999
"Hippichthys penicillus",20061.8
"Hippichthys spicifer",10506.6
"Homaloptera confuzona",156368.4
"Homalopteroides smithi",531115.700000001
"Homalopteroides tweediei",172802.3
"Hypophthalmichthys harmandi",256.4
"Hypophthalmichthys molitrix",256.4
"Hyporhamphus limbatus",1727.3
"Hypsibarbus lagleri",57733.7
"Hypsibarbus malcolmi",147890.3
"Hypsibarbus pierrei",152606.3
"Hypsibarbus vernayi",215889.8
"Hypsibarbus wetmorei",75190.9
"Ichthyocampus carce",2883.4
"Ilisha kampeni",441.4
"Ilisha megaloptera",441.4
"Indostomus spinosus",25187
"Istigobius ornatus",994.3
"Johnius coitor",21371.5
