"OBJECTID","Code","Name","Lat","Lon","Head","DesignQ","Ad_MRC","MeanQ_m3s","InstalledC","MeanAnnual","Cost_MioD","FSL","LSL","LiveStorag","GrossStora","ReservoirA","DamHeight","ReferenceY","ReferenceB","COD","Status","log_IC","status","country","incl","rem","mit","scen"
66,"L066","Nam Khan 1",21.843789,102.183654307,56,195,7300,130,101.8,458.5,166,340,320,805,1530.4,56,64.1,2007,166,2022,"P",2.00774777800074,"planned","L","1","0","0","B1"
67,"L067","Nam Khan 2",19.6849658284,102.320576576,138.7,109.5,5221,64.4,130,578.6,218.5,470,450,528,1217,30,155,2007,218.5,2015,"E",2.11394335230684,"existing","L","1","0","0","B1"
68,"L068","Nam Khan 3 (Down)",19.7639668657,102.773417406,39,176.8,3392,37,60,222.38,97.5,560,532,48,3249.5,0,90,2007,97.5,2016,"E",1.77815125038364,"existing","L","1","0","0","B1"
69,"L069","Nam Ngum 4",19.446899986,102.999400046,235,105.5,1725,26.86,220,267.66,96.11,1040,1010,332.3,443,14.4,65,2007,96.11,2022,"P",2.34242268082221,"planned","L","1","0","0","B1"
70,"L070","Nam Ngum 4B",19.4166999858,102.852800046,158,38.7,1818,28.65,54,267,118.4,880,870,1.7,3.136561714,0.2,25,2007,118.4,2022,"P",1.73239375982297,"planned","L","1","0","0","B1"
75,"L075","Nam Poun",18.4638999837,101.469400047,70,148.8,1700,87.5,50,342,138.3,300,280,250,473.4,32.25,76,2008,138.3,2017,"C",1.69897000433602,"existing","L","1","0","0","B1"
81,"L081","Nam San 2",18.7802596919,103.814657895,74.3,94.3,1429,58,60,290.67,122.3,240,220,0,3163,0,60,2007,122.3,2022,"P",1.77815125038364,"planned","L","1","0","0","B1"
82,"L082","Nam Pok",21.3805999873,102.31940005,59.4,4.9,466,11.54,2.6,14.43,17.2,460,455,5.1,7.5,0.9,22.3,2007,17.2,2020,"P",0.414973347970818,"planned","L","1","0","0","B1"
88,"L088","Nam Theun 4",18.6766999874,104.77670004,157,20.5,660,10.2,80,130.5,140,720,680,680,1044,29,122,2008,140,2022,"P",1.90308998699194,"planned","L","1","0","0","B1"
89,"L089","Nam Mouan",18.7638999868,104.265300042,103.2,105.7,1652,62.2,100,452.2,274,380,360,1174,6853,54.9,128,2007,274,2022,"P",2,"planned","L","1","0","0","B1"
90,"L090","Xe Bang Hieng 2",16.8480999891,106.301100031,44.6,42.6,669,25.5,90,73.5,74,280,263,288,849.5,46.4,55,2007,74,2022,"P",1.95424250943932,"planned","L","1","0","0","B1"
97,"L097","Xe Nam Noy 5",15.16389999,106.668600026,572,3.9,60.2,3.64,20,124,52.6,800,780,8.8,9.8,0.6,55,2007,52.6,2013,"P",1.30102999566398,"planned","L","1","0","0","B1"
99,"L099","Nam Kong 2",14.4927100743,106.85323525,97.9,76.2,860,45,66,309.5,124.5,460,437,30.58,166.2,4.2,72.1,2007,124.5,2018,"C",1.81954393554187,"existing","L","1","0","0","B1"
109,"C009","Lower Se San 3",14.0316,107.0236,40.5,760,15435,330,260,1310.2,1184.87,140,118,14528,16900,726.9,75,2008,1184.87,2030,"P",2.41497334797082,"planned","C","1","0","0","B1"
110,"C010","Prek Liang 1",14.216561,107.250672,132.5,66.8,917,40.2,72,324.3,163.85,275,260,19.31,0,1.73,90,2012,163.85,2030,"P",1.85733249643127,"planned","C","1","0","0","B1"
111,"C011","Prek Liang 2",14.2833333333,107.266666667,173,40.1,580,25.4,56,259.6,120.69,495,480,19.5,0,2.09,90,2012,120.69,2030,"P",1.7481880270062,"planned","C","1","0","0","B1"
116,"C016","Lower Se San 1",13.81389,107.46139,17.3,682,11114,385,96,485,225.228,141,140,15.381,100.709,16.306,1,2008,225.228,2030,"P",1.98227123303957,"planned","C","1","0","0","B1"
118,"V002","Plei Krong",14.4083333333,107.861111111,31,367.6,3216,128,100,417.2,178.765,570,537,948,1048.7,53.28,71,2003,178.765,2009,"E",2,"existing","V","1","0","0","B1"
119,"V003","Yali",14.2227777778,107.793055556,190,424,7455,262,720,3658.56,456.119,515,490,779.02,1037.1,64.5,71,1992,456.119,2002,"E",2.85733249643127,"existing","V","1","0","0","B1"
120,"V004","Se San 3",14.2166666667,107.7,60.5,486,7788,274,260,1224.6,236.323,304.5,303.2,3.8,92,3.4,69.5,2003,236.323,2006,"E",2.41497334797082,"existing","V","1","0","0","B1"
121,"V005","Se San 3A",14.1061111111,107.655,21.5,500,8084,283,96,479.3,121.667,239,238.5,4,80.6,8.8,35,2005,121.667,2007,"E",1.98227123303957,"existing","V","1","0","0","B1"
122,"V006","Se San 4",13.9666666667,107.5,56,719,9326,328.9,360,1420.1,349.76,215,210,264.16,893.3,58.4,74.13,2004,349.76,2010,"E",2.55630250076729,"existing","V","1","0","0","B1"
123,"V007","Se San 4A",13.9333333333,107.466388889,63,594.2,9368,330,63,296.9,79.13,155.2,150,7.5,13.1,1.75,31.5,2011,79.13,2011,"E",1.79934054945358,"existing","V","1","0","0","B1"
124,"V008","Duc Xuyen",12.1427777778,108.100555556,71,93,1100,35.7,58,181.3,82.63,560,551,413.41,1749.78,77.34,88,2002,82.63,0,"P",1.76342799356294,"planned","V","1","0","0","B1"
125,"V009","Buon Tua Srah",12.2852777778,108.047777778,46.5,204.9,2930,102,86,358.6,135.958,487.5,467.5,522.6,787,37.1,83,2004,135.958,2009,"E",1.93449845124357,"existing","V","1","0","0","B1"
